Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Jake Cronenworth,SD,2B,30,155,577,72,139,29,3,17,83,5,2,61,118,1,3,11,0.241,0.324,0.39,0.714,5,0.241
Orlando Arcia,ATL,SS,30,157,551,50,120,24,0,17,46,2,0,41,128,1,7,2,0.218,0.271,0.354,0.625,9,0.218
Zack Gelof,OAK,2B,25,138,497,60,105,20,2,17,49,25,3,38,188,3,5,4,0.211,0.27,0.362,0.632,2,0.211
MJ Melendez,KC,OF,25,135,412,44,85,23,3,17,44,4,4,35,113,0,0,3,0.206,0.273,0.4,0.673,3,0.206
Kyle Higashioka,SD,C,34,84,246,29,54,10,1,17,45,2,0,15,74,1,1,0,0.22,0.263,0.476,0.739,8,0.22
Yainer Diaz,HOU,C,26,148,585,70,175,29,3,16,84,2,0,24,107,0,8,2,0.299,0.325,0.441,0.766,3,0.299
Nolan Arenado,STL,3B,33,152,578,70,157,23,0,16,71,2,2,44,92,0,7,5,0.272,0.325,0.394,0.719,12,0.272
Dansby Swanson,CHC,SS,30,149,534,82,129,27,2,16,66,19,3,54,144,0,3,2,0.242,0.312,0.39,0.702,9,0.242
Matt Vierling,DET,OF,28,144,518,80,133,28,5,16,57,6,1,41,121,0,5,3,0.257,0.312,0.423,0.735,4,0.257
Wyatt Langford,TEX,OF,22,134,499,74,126,25,4,16,74,19,3,51,115,0,3,4,0.253,0.325,0.415,0.74,1,0.253
Nathaniel Lowe,TEX,1B,29,140,486,62,129,16,1,16,69,2,0,71,125,0,4,4,0.265,0.361,0.401,0.762,6,0.265
J.D. Martinez,NYM,DH,37,120,434,46,102,24,1,16,69,0,0,49,141,0,2,6,0.235,0.32,0.406,0.726,14,0.235
Brandon Marsh,PHI,OF,26,135,418,55,104,17,3,16,60,19,3,50,154,1,5,2,0.249,0.328,0.419,0.747,4,0.249
Jorge Polanco,SEA,2B,31,118,417,43,89,11,0,16,45,4,2,46,137,0,2,4,0.213,0.296,0.355,0.651,11,0.213
Isaac Paredes,TB,3B,25,101,363,41,89,19,1,16,55,0,1,52,68,0,2,12,0.245,0.357,0.435,0.792,5,0.238
