Player,Yrs,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
Corbin Carroll,3,158,589,121,136,22,14,22,74,73,130,35,8,.231
Maikel Garcia,3,157,575,84,133,27,5,7,58,42,103,37,2,.231
Garrett Hampson,7,113,213,16,49,13,1,0,16,14,59,7,2,.230
Enrique Hernandez,11,126,362,44,83,16,0,12,42,27,77,0,0,.229
Nick Ahmed,11,71,210,20,48,6,1,2,17,11,51,2,1,.229
Kevin Pillar,12,100,284,38,65,16,1,8,45,16,69,12,3,.229
Hunter Renfroe,9,120,385,44,88,18,0,15,52,36,84,1,1,.229
Leody Taveras,5,151,480,59,110,17,3,12,44,42,112,23,6,.229
Andrew Benintendi,9,135,477,50,109,20,0,20,64,41,96,3,2,.229
Keibert Ruiz,5,127,459,46,105,21,0,13,57,16,54,3,1,.229
Kyle Isbel,4,136,384,62,88,13,8,8,42,27,88,11,2,.229
Austin Wells,2,115,354,42,81,18,1,13,55,47,87,1,2,.229
Anthony Rizzo,14,92,337,38,77,12,0,8,35,27,65,0,0,.228
Yasmani Grandal,13,72,215,26,49,10,0,9,27,24,46,1,0,.228
Connor Joe,5,123,364,49,83,22,1,9,36,44,91,2,2,.228
Ben Rortvedt,3,112,290,27,66,13,0,3,31,34,88,1,0,.228
Michael Siani,3,124,298,42,68,7,2,2,20,21,92,20,3,.228
Nick Gordon,4,95,260,29,59,11,1,8,32,11,67,5,5,.227
Paul DeJong,8,139,445,54,101,17,0,24,56,23,156,2,2,.227
Nolan Jones,3,79,256,28,58,13,1,3,28,36,91,5,4,.227
Luis Campusano,5,91,277,37,63,13,0,8,40,20,41,0,0,.227
Nick Fortes,4,110,308,28,70,16,0,4,29,11,41,0,1,.227
Jose Caballero,2,139,441,53,100,24,1,9,44,27,133,44,16,.227
TJ Friedl,4,85,297,35,67,5,1,13,55,26,52,9,1,.226
Ryan Jeffers,5,122,412,56,93,22,0,21,64,32,94,3,0,.226
Jeimer Candelario,9,112,427,47,96,23,2,20,56,27,114,4,3,.225
Bo Bichette,6,81,311,29,70,16,1,4,31,20,64,5,1,.225
Josh Rojas,6,142,422,48,95,19,2,8,31,46,108,10,4,.225
Spencer Steer,3,158,574,74,129,34,4,20,92,72,137,25,3,.225
Brandon Nimmo,9,151,571,88,128,25,3,23,90,77,158,15,0,.224
Adolis Garcia,6,154,580,68,130,27,0,25,85,45,177,11,5,.224
Luis Robert Jr.,5,100,393,47,88,19,0,14,35,28,141,23,6,.224
Shea Langeliers,3,137,482,58,108,18,2,29,80,41,145,4,2,.224
Richie Palacios,3,92,264,46,59,8,1,5,21,45,67,19,1,.223
Whit Merrifield,9,95,293,44,65,9,3,4,15,35,52,17,3,.222
Vidal Brujan,4,102,248,32,55,14,2,2,16,25,54,5,6,.222
Christian Vazquez,10,93,294,29,65,10,0,7,27,11,65,3,1,.221
Kyle Higashioka,8,84,246,29,54,10,1,17,45,15,74,2,0,.220
Gary Sanchez,10,89,245,30,54,7,1,11,37,27,76,0,0,.220
George Springer,11,145,545,74,120,19,3,19,56,60,115,16,1,.220
Jonah Heim,5,131,459,45,101,12,1,13,59,26,90,1,1,.220
Cal Raleigh,4,153,546,73,120,16,0,34,100,70,176,6,1,.220
Max Schuemann,1,133,396,55,87,14,0,7,34,47,119,14,1,.220
Mickey Moniak,5,124,392,48,86,17,2,14,49,21,114,8,4,.219
Randy Arozarena,6,154,549,77,120,33,0,20,60,73,169,20,10,.219
Jake Meyers,4,148,461,51,101,20,3,13,61,35,117,11,3,.219
Spencer Torkelson,3,92,342,45,75,21,1,10,37,33,105,0,0,.219
Anthony Rendon,12,57,206,21,45,10,0,0,14,23,35,6,1,.218
Orlando Arcia,9,157,551,50,120,24,0,17,46,41,128,2,0,.218
Michael Toglia,3,116,399,62,87,14,3,25,55,54,147,10,1,.218
Thairo Estrada,6,96,364,43,79,15,2,9,47,10,76,2,2,.217
Jonny DeLuca,2,107,332,29,72,12,4,6,31,24,77,16,6,.217
Jared Triolo,2,125,394,41,85,10,1,9,46,42,118,8,1,.216
Jose Trevino,7,73,209,26,45,5,0,8,28,20,41,1,0,.215
Zach McKinstry,5,118,297,32,64,14,5,4,23,24,69,16,0,.215
Stuart Fairchild,4,94,209,33,45,8,0,8,30,17,60,13,1,.215
Tim Anderson,9,65,234,16,50,3,0,0,9,7,68,4,4,.214
Kyle Farmer,8,107,215,26,46,13,1,5,25,19,49,3,5,.214
Rhys Hoskins,7,131,449,59,96,14,0,26,82,53,149,3,0,.214
Daulton Varsho,5,136,459,73,98,21,7,18,58,48,137,10,2,.214
Enmanuel Valdez,2,76,201,23,43,12,0,6,28,17,53,1,1,.214
Joey Loperfido,1,81,243,24,52,13,4,4,25,13,95,4,2,.214
Jorge Polanco,11,118,417,43,89,11,0,16,45,46,137,4,2,.213
Robbie Grossman,12,87,208,21,44,8,0,3,16,34,58,3,0,.212
Jason Heyward,15,87,228,33,48,12,2,10,37,22,53,5,0,.211
Chas McCormick,4,94,242,32,51,6,1,5,27,17,72,8,2,.211
Zack Gelof,2,138,497,60,105,20,2,17,49,38,188,25,3,.211
Noelvi Marte,2,66,229,24,48,9,0,4,18,9,75,9,3,.210
